post_id,title,z3_verdict,ground_truth_label
ymk63b,AITA for having a strict “no last minute flaking” policy for when it comes to first dates?,YTA,YTA
yggqug,WIBTA for insisting that my wife pay for plane tickets out of her own money?,YTA,NAH
ytssto,AITA for buying my wife a watch in a color she doesn’t like?,ESH,NAH
yppwkt,AITA for making my friends sister cry?,YTA,NTA
yuledj,AITA for refusing to help my brother plan my dad’s funeral because neither of them came to visit me in prison?,YTA,YTA
yw727z,AITA for telling my coworker no?,YTA,NTA
yxaqdr,AITA for not saying anything when my cousin said I took my sister’s leftovers when I married my husband?,YTA,YTA
yohj6t,AITA for not buying my wife a burger?,YTA,YTA
yqkdyn,AITA for telling my ex I have no interest in being a father to our child?,YTA,YTA
ypt65e,AITA For Not Accomodating My Spouse's Diet?,YTA,NTA
ytmc99,AITA for telling my neighbour i will expect them to pick up my dogs mess?,YTA,YTA
yxrq30,AITA for refusing to leave the room when my husband told me to?,YTA,NTA
yqsgtc,AITA for not donating to a friend’s GoFundMe for their premature baby’s NICU stay?,YTA,YTA
yn5br1,AITA for keeping the same financial agreement with my wife?,YTA,YTA
yxegtm,AITA for not wanting to hold or touch my girlfriend’s sister’s baby?,YTA,NTA
ysr5dm,AITA for reorganising my library while pregnant and telling my in-laws my husband wouldn’t help me?,YTA,YTA
yt9zvh,AITA for backing my fiancee in not inviting my dad's affair partner to the wedding even though this situation is embarrassing my mom?,YTA,YTA
yvdhvr,AITA for being nude in front of friends,YTA,YTA
yry7k7,AITA for drinking boba in front of my pregnant sister when it makes her gag?,YTA,NAH
yhjx76,"AITA for ""overruling"" my sister by approving my nephew's outfit for my wedding?",YTA,YTA
yjr6x0,AITA for not wanting to split 50/50,YTA,NAH
yxcped,AITA for telling my wife that her investing losses are not my problem?,YTA,YTA
ysko69,AITA for telling my parents I won’t go to thanksgiving if my sister attends?,YTA,NTA
ymrcwz,AITA for complaining about an old lady that took my seat so I wouldn't have a row to myself on a 7 hour flight?,YTA,NTA
ysoq7f,AITA for telling my ex husband's son that my daughter is not his sister?,YTA,NTA
ysxxdc,AITA for telling my husband to get over himself?,ESH,YTA
yopmla,AITA For refusing to change my workout routine to appease my husband,YTA,NAH
yiopjh,AITA for beating my coworker's kid at super smash bros.,YTA,NAH
yk352f,WIBTA if I don't attend my brother's fiancee's funeral because my husband isn't coming?,YTA,YTA
yl0u92,AITA for canceling on my girlfriend to be with my ex,YTA,YTA
ygmrq8,AITA? My roommate called me a leech.,YTA,NTA
yt3u13,AITA for telling my daughter I don’t want her half sibling sleeping over my house?,YTA,ESH
ywuxl1,AITA for peeing in my BF car ?,NAH,NTA
yguunb,AITA for giving my husband the green light to accept his mom's lavish gifts when she gives our children shitty ones?,YTA,NTA
yg22bk,AITA for calling my dad a creepy pervert for making comments about how my running clothes are too revealing?,YTA,ESH
ynnson,AITA For changing my hair color before a wedding?,ESH,NTA
yh0pz8,AITA for being pissed off our dog sitter spent the entire weekend sleeping in my bedroom while my family & I were out town?,ESH,NAH
yk4qxu,AITA for using a “Moe Syzlak” joke about my brother during parents 40th anniversary party? It turned about to true but I had no idea he has really done what joke was about.,YTA,YTA
yw1ym0,AITA Because I'm going to a concert without my wife?,ESH,NTA
yi9ih5,AITA for making my ex a birthday cake even though his girlfriend told me she had already ordered one?,YTA,NTA
yr1drw,"AITA for suggesting an ""upstage the bride"" theme for our wedding to my fiancée?",ESH,YTA
yowsro,AITA for making my 16 year old daughter get a job,ESH,YTA
yn1amo,AITA for banning my deceased wife's parents from her funeral?,YTA,NTA
ytdhml,AITA for doing a mother-son dance with my stepmom at my wedding?,ESH,NAH
yn74o3,AITA for throwing my wife a birthday party and royally pissing my mom off?,YTA,NTA
yklhhj,AITA for taking our son trick or treating without my wife?,YTA,YTA
yrn34k,AITA for taking back gifts i bought for my sister?,YTA,ESH
yox3ge,AITA for making a woman move because my kid was kicking her seat on the plane,YTA,YTA
yrxbs0,AITA for telling my sister to stop taking pictures of my husband while we were at the beach?,YTA,NTA
yk6dys,AITA for refusing to take down a video of my kids father dancing at my brother's wedding?,YTA,YTA
yr3mz5,AITA for driving 14 hours to surprise my husband on his business trip?,YTA,YTA
yksm3z,AITA for telling the coach to stay in his lane?,YTA,NTA
yjs1ek,AITA for telling my coworker’s wife nobody knew about her?,YTA,NTA
yk464j,WIBTA for actively trying to prevent my neighbors from parking in front of my home?,YTA,YTA
yu2n58,AITA for telling my sister she can't sleep with here bf while at my house?,YTA,NTA
yha6vf,AITA for calling my mom fucking insane?,YTA,NTA
ypmpvp,AITA for making a meal that my daughter hates?,YTA,ESH
yfkto8,AITA for offering to pay to send my niece to boarding school?,ESH,NTA
yx948r,AITA for giving my daughter's phone away to my son as punishment for something terrible she did to him?,YTA,YTA
ygv29z,AITA for forcing my MIL to babysit?,YTA,YTA
yrhzxl,AITA for not checking the scores of a certain NBA game on a 3 hour flight for a passenger on a in-flight WiFi I paid for?,YTA,ESH
yvvc84,AITA for not allowing my daughter's half sister to spend christmas with us?,YTA,NTA
yjb1t7,AITA for not introducing husbands biological daughter to her biological siblings?,YTA,YTA
ykr0gn,AITA for mixing a non alcoholic spirit in a virgin drink?,ESH,YTA
ylsln4,"AITA for, while absolutely being okay with it, telling my son it's weird that he is dating his step sister?",NTA,YTA
yt3n93,AITA for asking my sister to stop using her breastmilk pump at night and offering to buy her formula?,YTA,YTA
yuycmv,AITA for buying things for my cousin’s baby that was conceived during an affair with my sister-in-law’s husband?,ESH,NTA
yt8wo0,AITA for assuming “don’t worry about it” means “you don’t have to pay for that” at a bar?,YTA,NTA
yizqxt,AITA for yelling at my stepdaughter about her bathroom?,YTA,NTA
yo3gf2,AITA for refusing to sell my ex the cottage his grandfather left me but being willing to sell it to somebody my ex hates?,YTA,NTA
ywhl50,AITA for yelling at my brother-in-law that his “big brother act” is getting old and he needs to accept that I’m married to his sister?,YTA,NTA
yrq8if,AITA For refusing to put my 2 dogs in a long-term kennel,YTA,YTA
yfz8yx,AITA for picking a restaurant where I knew I wouldn’t be able to eat most of the food?,YTA,YTA
ynebmb,AITA for not letting my husband lock our bedroom door to stop our son from sneaking into our room at night?,YTA,ESH
ytgmrj,AITA for letting my brother go hungry to make a point?,YTA,NTA
yuaual,AITA for 'crashing' my ex's mother's funeral and telling his children I'm carrying their sibling?,YTA,YTA
ypk7gy,AITA for leaving MIL's funeral after my husband lied to me?,YTA,YTA
yr655c,AITA for canceling my plane ticket back home for thanksgiving?,YTA,NTA
yr0y2p,AITA for refusing to borrow my wedding (made by my mum) dress to my sister?,NAH,NAH
yggnja,AITA for taking my daughters “emotional support” dog back to the shelter?,YTA,NTA
yn91x6,AITA for saying my dad can't meet my son unless he gets to know my wife on some level?,YTA,NTA
yraao1,AITA for telling my ex that his family called my husband an upgrade.,YTA,NTA
yw68mj,AITA for kicking out the medical student for being female,YTA,YTA
yfwqpv,AITA for not going to help my GF?,YTA,YTA
yidi37,AITA for telling my friend that it wasn’t racism she experienced.,ESH,NTA
yipi15,AITA for making my roommate replace my garlic that she used?,YTA,YTA
yvgvjd,"AITA for sticking up for my rights to use a feature (skatepark) at a public park and getting it ""shut down"" for a few months while improvements are made?",ESH,YTA
